,id,study.name,effect.key,b,s,n,specialty,outcome.group,outcome.flag,outcome.nr,comparison.nr,RCT,study.year,outcome_name,comparison_name,z,gemini-1.5-flash,human_response,gold_answer_GPT4,llama3-8b-8192,llama_8b_acc,llama3-70b-8192,llama_70b_acc,mixtral-8x7b-32768,mixtral_8x7b_acc,MV,MV_acc,gemini-1.5-pro,gpt4_acc,gemini_1.5flash_acc,gemini_1.5pro_acc,gemini_1.5flash_acc_clean,gemini_1.5pro_acc_clean,gemma_7b_it_acc_clean,gemma_7b_it_acc
654,CD010735,Conrad-Hengerer 2013,STD-Conrad_x002d_Hengerer-2013 0.329 1.641 73 73,-1.11231113302627,1.64136078066092,146,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,no,2013.0,Intraoperative complications,Laser-assisted cataract surgery versus standard ultrasound phacoemulsification cataract surgery,-0.677676197781687,"negative 
",negative,,,,,,,,,,,,,,,,,
655,CD008337,Chew 1994,STD-Chew-1994 1.183 0.385 31 33,0.238891908282349,0.54808468816126,64,Gastroenterology,efficacy,DICH,1,18,yes,1994.0,H. pylori persistence,PPI dual therapy (PPI + one antibiotic) 14 days versus 7 days,0.435866780157269,"negative 
",negative,,,,,,,,,,,,,,,,,
656,CD006946,Kvist 2007,STD-Kvist-2007 0.2 0.824 140 70,-1.66915714713572,0.850077050740819,210,Pregnancy & Childbirth,efficacy,DICH,1,1,no,2007.0,Breast abscess,Acupuncture versus usual care,-1.96353630024607,"negative 
",negative,,,,,,,,,,,,,,,,,
657,CD001888,Abuzakuk 2007,STD-Abuzakuk-2007 1.083 0.349 52 52,0.105360515657826,0.459235708430253,104,Emergency & Trauma,efficacy,DICH,1,1,no,2007.0,No. exposed to allogeneic blood (All Studies),Cell salvage - blood transfused (all studies),0.229425790990789,"negative 
",negative,,,,,,,,,,,,,,,,,
658,CD004879,ca Kawai 2003,STD-ca-Kawai-2003 0.202 0.339 999 303,-1.65619967834214,0.351580640486354,1302,Lungs,efficacy,DICH,1,8,no,2003.0,Influenza,Inactivated vaccines (cohort studies by age group),-4.71072490240378,"negative 
",negative,,,,,,,,,,,,,,,,,
659,CD009346,Baek 2008,STD-Baek-2008 0.025 0.806 60 60,-8.47630175004016,1.64316837693998,120,Anaesthesia & Pain,efficacy,DICH,1,1,yes,2008.0,Pain,Non-pharmacological interventions versus placebo,-5.15851075823726,"negative 
",negative,,,,,,,,,,,,,,,,,
660,CD003557,Morias 1979,STD-Morias-1979 1.312 0.108 30 29,3.0122615755052,1.4867967793292,59,Skin & Wounds,efficacy,DICH,1,7,yes,1979.0,Frequency of complete healing,Levamisole versus placebo,2.02600760062465,"positive 
",positive,,,,,,,,,,,,,,,,,
661,CD005563,Beaussier 2006,STD-Beaussier-2006 0.9 0.366 26 26,-0.165985137474261,0.576571453093956,52,Psychiatry & Mental Health,efficacy,DICH,1,11,yes,2006.0,Incident delirium,Intrathecal morphine and PCA morphine versus PCA morphine,-0.287883030947099,"negative 
",negative,,,,,,,,,,,,,,,,,
662,CD005960,Eriksson 2001,STD-Eriksson-2001 0.987 0.285 77 72,-0.0173917427118691,0.379403521770406,149,Emergency & Trauma,efficacy,DICH,1,1,no,2001.0,Functional assessment - single hop test: participants with < 90% of opposite side,Patella tendon versus hamstring tendon autografts for ACL reconstruction,-0.0458396976145983,"negative 
",negative,,,,,,,,,,,,,,,,,
663,CD000223,Moser 1973,STD-Moser-1973 0.379 0.507 40 38,-1.01160091167848,0.535028420979121,78,Lungs,efficacy,DICH,1,1,no,1973.0,Frequency of unsatisfactory response,Doxapram vs. placebo,-1.89074238304428,"negative 
",negative,,,,,,,,,,,,,,,,,
664,CD010168,Dandapat 1992,STD-Dandapat-1992 0.575 0.503 40 46,-0.664976303593249,0.596949919464947,86,Gastroenterology,efficacy,DICH,1,1,yes,1992.0,Intra-peritoneal abscess,Drain use versus no drain use,-1.11395660156764,"negative 
",negative,,,,,,,,,,,,,,,,,
665,CD006542,Loo 2008,STD-Loo-2008 5.602 0.471 44 29,3.05635689537043,0.647620077441923,73,"Oral Health, Eyes & ENT",efficacy,DICH,1,4,yes,2008.0,Periodontal healing at 48 months,Thymosin alpha 1 versus saline soaking prior to replantation,4.71936711326636,"positive 
",positive,,,,,,,,,,,,,,,,,
666,CD003263,Rath 2008,STD-Rath-2008 7.407 1.006 27 20,2.41381072810427,1.10066121416135,47,Skin & Wounds,efficacy,DICH,1,13,no,2008.0,Percentage repigmentation (> 75%),ORAL: oral minipulses of betamethasone (OMP) plus NB-UVB versus OMP,2.19305513544736,"positive 
",positive,,,,,,,,,,,,,,,,,
667,CD004224,Crowther 2012b,STD-Crowther-2012b 0.343 0.678 10 12,-1.7227665977411,0.983797307811494,22,Pregnancy & Childbirth,efficacy,DICH,1,2,no,2012.0,Vaginal birth,Secondary maternal outcomes,-1.75113977651909,"neutral 
",neutral,,,,,,,,,,,,,,,,,
668,CD009957,Foden-Shroff 1998,STD-Foden_x002d_Shroff-1998 1.293 0.296 173 175,0.290732969285037,0.334768442125867,348,Oncology,efficacy,DICH,1,1,no,1998.0,Number of participants who experienced prolonged vaginal discharge,Prolonged vaginal discharge,0.868459904520292,"negative 
",negative,,,,,,,,,,,,,,,,,
669,CD010328,Arts 2011,STD-Arts-2011 0.319 1.629 166 159,-1.14785300477127,1.63675954890682,325,Spine & Muscles,efficacy,DICH,1,5,yes,2011.0,Surgical site and other infections,Secondary outcomes - complications of surgery,-0.701296048975499,"negative 
",negative,,,,,,,,,,,,,,,,,
670,CD002091,VASCA 1966,STD-VASCA-1966 0.9 0.272 295 287,-0.105010238800809,0.272775496760723,582,Neurology,efficacy,DICH,1,2,no,1966.0,All ischaemic or haemorrhagic strokes,Intervention versus control: history of stroke,-0.384969471407189,"negative 
",negative,,,,,,,,,,,,,,,,,
671,CD009439,Shipley 2003,STD-Shipley-2003 1.161 0.654 33 45,0.149035579160488,0.654233886329635,78,Emergency & Trauma,efficacy,DICH,1,10,no,2003.0,Baseline measures of knowledge of suicide (Shipley 2003 - dichotomous),"Experimental group comparisons, gatekeeper training programs: baseline measures of suicide-related outcomes",0.227801681133644,"neutral 
",neutral,,,,,,,,,,,,,,,,,
672,CD004966,Dorsey 2002,STD-Dorsey-2002 0.634 0.391 59 54,-0.566175718849155,0.482104171249977,113,Infectious Diseases,efficacy,DICH,1,1,no,2002.0,Treatment failure by day 28,Sulfadoxine-pyrimethamine (SP) plus artesunate (AS) versus SP plus amodiaquine (AQ),-1.1743846094117,"negative 
",negative,,,,,,,,,,,,,,,,,
673,CD006117,Sogaard 1999,STD-Sogaard-1999 0.074 1.487 79 69,-2.60698707065693,1.48657346745439,148,Psychiatry & Mental Health,efficacy,DICH,1,28,no,1999.0,Sertraline versus newer ADs,SE - Dismenorrea,-1.75368868591549,"neutral 
",neutral,,,,,,,,,,,,,,,,,
674,CD003124,Zanini 1974,STD-Zanini-1974 -0.115 0.158 19 11,-0.693147180559945,0.924211375534118,30,Lungs,efficacy,DICH,1,2,yes,1974.0,Cough after 6 to 7 days,Cough (AC or CC versus placebo),-0.749987718079496,"negative 
",negative,,,,,,,,,,,,,,,,,
675,CD003989,Endrikat 2001,STD-Endrikat-2001 0.131 2 35 34,-1.15659954631846,1.65066242067233,69,Gynaecology & Urology,efficacy,DICH,1,7,no,2001.0,Pregnancy per woman,EE 20 µg and gestodene 75 µg (23-day) versus EE 30 µg and gestodene 75 µg (21-day),-0.700688118802248,"negative 
",negative,,,,,,,,,,,,,,,,,
676,CD001960,Blum 2000,STD-Blum-2000 0.823 0.045 395 203,-0.858590092911604,0.221386655114503,598,Gastroenterology,efficacy,DICH,1,8,no,2000.0,Global symptom assessment at the end of treatment (dichotomous),PPI vs placebo,-3.87823779381613,"neutral 
",neutral,,,,,,,,,,,,,,,,,
677,CD010127,Hamilton-Reeves 2016,STD-Hamilton_x002d_Reeves-2016 0.306 0.71 14 15,-1.65822807660353,0.92259984619036,29,Gynaecology & Urology,efficacy,DICH,1,2,no,2016.0,Complications at 90 days,Immunonutrition compared to standard oral nutritional supplements,-1.79734267618921,"negative 
",negative,,,,,,,,,,,,,,,,,
678,CD010410,Smith 2011,STD-Smith-2011 1.481 0.644 18 16,0.510825623765991,0.828962898554264,34,Gastroenterology,efficacy,DICH,1,1,no,2011.0,Clinical remission (CDAI < 150),Low dose naltrexone versus placebo,0.616222541029141,"positive 
",positive,,,,,,,,,,,,,,,,,
679,CD003078,Dryden 1992,STD-Dryden-1992 0.429 0.33 40 40,-1.33684608570591,0.493578567396981,80,Kidney & Transplant,efficacy,DICH,1,2,yes,1992.0,Number of patients with peritonitis,Double bag systems versus standard systems,-2.70847677352792,"negative 
",negative,,,,,,,,,,,,,,,,,
680,CD002863,Fr Caribbean 1990,STD-Fr-Caribbean-1990 2.924 1.625 78 76,1.0856250931413,1.6409271123051,154,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1990.0,Maternal death,Beta-blocker versus placebo/no beta-blocker,0.661592513768793,"negative 
",negative,,,,,,,,,,,,,,,,,
681,CD000360,Bensdorp 2015,STD-Bensdorp-2015 1.257 0.677 18 18,0.228841572428848,0.677322843086097,36,Gynaecology & Urology,efficacy,DICH,1,9,yes,2015.0,Live birth rate per couple (all cycles),In vitro fertilisation (IVF) versus intra-uterine insemination (IUI) in cycles with ovarian hyperstimulation (OH),0.337861884867448,"positive 
",positive,,,,,,,,,,,,,,,,,
682,CD009029,Sack 2007,STD-Sack-2007 0.758 0.389 330 341,-0.288448649721976,0.404694994380433,671,Infectious Diseases,efficacy,DICH,1,3,no,2007.0,ETEC diarrhoea,ETEC killed whole cell vaccine with recombinant cholera B-subunit (ETEC WC-rCTB) versus placebo,-0.712755664703924,"negative 
",negative,,,,,,,,,,,,,,,,,
683,CD011745,MRC-TMH 1985 Betablocker arm,STD-MRC_x002d_TMH-1985-Betablocker-arm 0.684 0.325 4403 4327,-0.382006293013962,0.326249213151075,8730,Heart & Hypertension,efficacy,DICH,1,2,no,1985.0,Sudden cardiac death,"Subgroup analysis, first-line diuretic versus others",-1.17090333896703,"negative 
",negative,,,,,,,,,,,,,,,,,
684,CD004587,EUCATAX,STD-EUCATAX 0.243 0.797 211 211,-1.41542263404291,0.796687389990327,422,Heart & Hypertension,efficacy,DICH,1,13,no,,Mortality: 12 months,Unselected Patients: Mortality,-1.7766349158107,"negative 
",negative,,,,,,,,,,,,,,,,,
685,CD005509,Belch 1979,STD-Belch-1979 0.288 0.875 24 25,-1.24521576285999,0.874501452868193,49,Heart & Hypertension,efficacy,DICH,1,1,no,1979.0,Incidence of DVT in general,Treatment versus no treatment,-1.42391503041638,"negative 
",negative,,,,,,,,,,,,,,,,,
686,CD003431,Simpson 2003,STD-Simpson-2003 0.105 1.613 7 8,-2.25606507735915,1.61272000076449,15,Gastroenterology,efficacy,DICH,1,27,yes,2003.0,Non-healing of the fissure,GTN Dose Comparisons,-1.39891926452806,"negative 
",negative,,,,,,,,,,,,,,,,,
687,CD012314,Nikkhah 2017,STD-Nikkhah-2017 0.943 0.155 135 135,-0.0942009173500393,0.250654647596797,270,"Oral Health, Eyes & ENT",efficacy,DICH,1,8,yes,2017.0,BCVA: loss of 15 or more letters,Extended targeted PRP versus standard PRP,-0.375819551934146,"negative 
",negative,,,,,,,,,,,,,,,,,
688,CD001820,AICLA 1983b,STD-AICLA-1983b 1.01 0.396 202 204,0.0104712998672954,0.420877842009694,406,Neurology,efficacy,DICH,1,2,no,1983.0,vascular death,Dipyridamole plus aspirin versus placebo,0.024879665361557,"negative 
",negative,,,,,,,,,,,,,,,,,
689,CD003220,Al-Ostwani 2016,STD-Al_x002d_Ostwani-2016 1 1.369 16 16,0.0,1.46059348668044,32,"Oral Health, Eyes & ENT",efficacy,DICH,1,19,no,2016.0,Clinical failure,Metapex versus zinc oxide eugenol (ZOE) pulpectomy,0.0,"negative 
",negative,,,,,,,,,,,,,,,,,
690,CD000427,Walsh 1987,STD-Walsh-1987 0.182 0.683 16 16,-2.73436750941958,0.928621377277985,32,Neonatal,efficacy,DICH,1,1,no,1987.0,Hypoxemia end of first suction (TcPO2 <40mmHg),Suctioning with preoxygenation vs without preoxygenation,-2.94454508190914,"negative 
",negative,,,,,,,,,,,,,,,,,
691,CD002033,Egger 1995,STD-Egger-1995 0.692 0.324 43 46,-0.533758144071098,0.464182484526878,89,Oncology,efficacy,DICH,1,2,no,1995.0,Colonisation,Fluconazole versus nystatin,-1.14988859309316,"negative 
",negative,,,,,,,,,,,,,,,,,
692,CD002999,Tashkin 2001,STD-Tashkin-2001 0.067 0.033 204 200,0.631876355166904,0.313231566957153,404,Lungs,efficacy,DICH,1,4,no,2001.0,6 months (continuous abstinence),Comparison among various combinations of psychosocial and pharmacological interventions,2.01728185094876,"positive 
",positive,,,,,,,,,,,,,,,,,
693,CD007935,Cicerone 2008,STD-Cicerone-2008 1.429 0.25 34 34,0.713349887877465,0.492805380304581,68,Public Health & Work,efficacy,DICH,1,2,yes,2008.0,Return to work,Cognitive rehabilitation versus conventional treatment,1.44752861147047,"positive 
",positive,,,,,,,,,,,,,,,,,
694,CD010971,Groß 2013,STD-Gro_x03b2_-2013 103.571 1.56 15 14,4.64026150579936,1.5603460523088,29,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,2013.0,Treatment success: postintervention,Cognitive behavioural therapy (CBT) versus control,2.97386691813222,"positive 
",positive,,,,,,,,,,,,,,,,,
695,CD007645,Marsh 2005,STD-Marsh-2005 0.462 0.391 22 22,-1.34855403313704,0.645910872102997,44,Neonatal,efficacy,DICH,1,2,no,2005.0,Oxygen desaturation >10% at speculum insertion,Oxygen desaturation >10%,-2.08783299891878,"negative 
",negative,,,,,,,,,,,,,,,,,
696,CD009536,Hogh 2009,STD-Hogh-2009 0.9 0.459 42 42,-0.105360515657826,0.45918031408866,84,Heart & Hypertension,efficacy,DICH,1,2,no,2009.0,Antibiotic vs Placebo,Referral to AAA surgery,-0.229453468332884,"neutral 
",neutral,,,,,,,,,,,,,,,,,
697,CD007207,Vimala 2005,STD-Vimala-2005 0.476 0.553 30 30,-0.743336925083801,0.553354454025073,60,Gynaecology & Urology,efficacy,DICH,1,13,yes,2005.0,Need for additional mechanical dilation,Misoprostol versus prostaglandin F2a,-1.34332871033531,"negative 
",negative,,,,,,,,,,,,,,,,,
698,CD004767,Burke 2004,STD-Burke-2004 17.882 1.409 16 15,3.67037598254938,1.51760094236276,31,Skin & Wounds,efficacy,DICH,1,4,yes,2004.0,Primary outcome: short-term clinical cure (up to 3 months after start of treatment),Topical: 10% lemon myrtle oil versus vehicle,2.41853828637913,"positive 
",positive,,,,,,,,,,,,,,,,,
699,CD010529,Mejer 1977,STD-Mejer-1977 14.529 1.542 14 9,2.67617499257176,1.54167323728617,23,Anaesthesia & Pain,efficacy,DICH,1,12,yes,1977.0,Pain,Mepacrine,1.73588989407552,"negative 
",negative,,,,,,,,,,,,,,,,,
700,CD002053,Kaltenbach 1986,STD-Kaltenbach-1986 1.1 0.322 20 16,0.200670695462151,0.672324476737388,36,Neonatal,efficacy,DICH,1,6,no,1986.0,Treatment failure,Phenobarbitone titration with loading dose versus phenobarbitone titration alone (all infants),0.298472987977402,"negative 
",negative,,,,,,,,,,,,,,,,,
701,CD002761,Mastrosimone 1989,STD-Mastrosimone-1989 6.429 1.206 12 10,1.86075234071501,1.20580605984887,22,Anaesthesia & Pain,efficacy,DICH,1,10,no,1989.0,Therapeutic effectiveness index (>70% improvement),Metoclopramide vs. placebo,1.54316054851161,"positive 
",positive,,,,,,,,,,,,,,,,,
702,CD002855,Baird 1995 GP0.5 M600po,STD-Baird-1995-GP0.5-M600po 0.611 0.346 391 386,-0.514569922298982,0.360454370503431,777,Gynaecology & Urology,efficacy,DICH,1,3,no,1995.0,failure to achieve complete abortion,combined regimen mifepristone/prostaglandin: type of prostaglandin,-1.42755911540289,"negative 
",negative,,,,,,,,,,,,,,,,,
703,CD002922,Sun 2015,STD-Sun-2015 0.952 1.397 42 40,-0.0500104205746617,1.43179302608424,82,Kidney & Transplant,efficacy,DICH,1,4,yes,2015.0,Death,Mycophenolate mofetil (MMF) + IV cyclophosphamide (CPA) versus IV CPA,-0.0349285264445193,"negative 
",negative,,,,,,,,,,,,,,,,,
704,CD010640,Anker 2009,STD-Anker-2009 0.527 1.405 110 58,-0.648296614394593,1.42362852302689,168,Emergency & Trauma,efficacy,DICH,1,2,yes,2009.0,Mortality,Parenteral iron vs inactive control,-0.455383271624958,"negative 
",negative,,,,,,,,,,,,,,,,,
705,CD010450,Angle 2002,STD-Angle-2002 0.111 1.474 40 40,-2.30121429086027,1.5080818414532,80,Pregnancy & Childbirth,efficacy,DICH,1,2,yes,2002.0,Need for additional pain relief,Non-opioid analgesics versus placebo,-1.52592135758547,"negative 
",negative,,,,,,,,,,,,,,,,,
706,CD008492,Awab 2010 AFG,STD-Awab-2010-AFG 0.412 0.232 264 265,-1.03232015633184,0.265083892975949,529,Infectious Diseases,efficacy,DICH,1,1,yes,2009.0,Parasite clearance,ACT versus Chloroquine,-3.89431490816949,"positive 
",positive,,,,,,,,,,,,,,,,,
707,CD001687,Netherlands 1997,STD-Netherlands-1997 0.975 0.35 110 132,-0.0287601521752627,0.39793598094262,242,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1997.0,Hypertension,Low vs normal salt intake in pregnancy,-0.0722733141826895,"negative 
",negative,,,,,,,,,,,,,,,,,
708,CD001067,Morales 1989,STD-Morales-1989 1.459 0.736 37 72,0.405465108108165,0.792118034381339,109,Pregnancy & Childbirth,efficacy,DICH,1,8,no,1988.0,Treatment failure,Continued oral versus no treatment (tx) after intravenous antibiotic course,0.51187460770899,"negative 
",negative,,,,,,,,,,,,,,,,,
709,CD004961,Vaquero 2012,STD-Vaquero-2012 8.719 1.469 31 30,2.30076525627706,1.51372809441847,61,Emergency & Trauma,efficacy,DICH,1,8,no,2012.0,Mortality (12 months),PFNA versus Gamma 3 nail,1.51993298186155,"negative 
",negative,,,,,,,,,,,,,,,,,
710,CD007917,Liu 2011,STD-Liu-2011 1.6 0.354 10 10,1.38629436111989,1.01242283656583,20,Skin & Wounds,efficacy,DICH,1,34,yes,2011.0,Investigator's global assessment of improvement,Blue LED versus red LED,1.36928397014655,"neutral 
",neutral,,,,,,,,,,,,,,,,,
711,CD005457,Attilakos 2010,STD-Attilakos-2010 1.016 0.46 186 189,0.0168071183163812,0.483143348595323,375,Pregnancy & Childbirth,efficacy,DICH,1,1,no,2010.0,Severe postpartum haemorrhage (> 1000 ml),Carbetocin versus oxytocin,0.0347870220406546,"negative 
",negative,,,,,,,,,,,,,,,,,
712,CD010607,Bondok 2006,STD-Bondok-2006 0.077 1.435 20 20,-2.91122559417937,1.50718020120104,40,Pregnancy & Childbirth,efficacy,DICH,1,12,yes,2006.0,Hospital readmission,Hydrocortisone vs metoclopramide,-1.93157101709502,"negative 
",negative,,,,,,,,,,,,,,,,,
713,CD003654,NICS-EH,STD-NICS_x002d_EH 0.995 0.995 215 214,-0.0047058910374131,1.00469488742246,429,Heart & Hypertension,efficacy,DICH,1,2,no,1999.0,CCBs vs other classes of antihypertensive agents,Myocardial infarction,-0.004683900651158,"neutral 
",neutral,,,,,,,,,,,,,,,,,
714,CD005984,Hanai 2012,STD-Hanai-2012 1.607 0.402 32 30,0.678758443107845,0.565392551295152,62,Gastroenterology,efficacy,DICH,1,3,yes,2012.0,Relapse at 24 months,Elemental diet versus 6-mercaptopurine,1.20050828676997,"negative 
",negative,,,,,,,,,,,,,,,,,
715,CD009162,Wang 2008,STD-Wang-2008 1.954 0.208 34 31,2.20905903498322,0.643106083141552,65,Heart & Hypertension,efficacy,DICH,1,13,yes,2007.0,Rate of resolution of phlebitis: recovery,Aloe vera plus routine treatment versus routine treatment plus dexamethasone for treatment of phlebitis,3.43498388973719,"positive 
",positive,,,,,,,,,,,,,,,,,
716,CD001552,Gerritsen 2002,STD-Gerritsen-2002 1.379 0.123 87 89,0.840817279381358,0.3179999632804,176,Neurology,efficacy,DICH,1,1,yes,2002.0,Improvement in clinical symptoms at three months,Surgical versus non-surgical treatment - primary outcomes,2.64407980022299,"positive 
",positive,,,,,,,,,,,,,,,,,
717,CD004305,Hughes 1991,STD-Hughes-1991 2.375 0.665 32 38,0.990398704027877,0.753015914196351,70,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,1991.0,Full versus no financial coverage,Interventions directed at individuals: abstinence from smoking,1.31524272642348,"neutral 
",neutral,,,,,,,,,,,,,,,,,
718,CD004663,Allaire 2000,STD-Allaire-2000 3.846 1.201 26 50,1.40691364832263,1.24982992040196,76,Pregnancy & Childbirth,efficacy,DICH,1,1,yes,2000.0,Wound infection,Closure of subcutaneous tissue versus non-closure of subcutaneous tissue,1.12568408337524,"negative 
",negative,,,,,,,,,,,,,,,,,
719,CD001825,Gonzalez DV 2004,STD-Gonzalez-DV-2004 4.815 1.537 53 51,1.6094379124341,1.56167696770373,104,Emergency & Trauma,efficacy,DICH,1,1,no,2004.0,All wound infections,Drains versus no drain,1.03058311399738,"negative 
",negative,,,,,,,,,,,,,,,,,
720,CD011802,Knox 2007,STD-Knox-2007 1.857 1.24 58 53,0.619039208406224,1.23979349574351,111,Lungs,efficacy,DICH,1,1,no,2007.0,Exacerbation requiring OCS,ICS dose reduction versus no change in ICS dose (no concomitant LABA),0.499308320725609,"negative 
",negative,,,,,,,,,,,,,,,,,
721,CD007605,Jiang 2007,STD-Jiang-2007 0.111 1.448 15 15,-2.49571756589222,1.54068000343797,30,Hepato-Biliary,efficacy,DICH,1,7,yes,2007.0,Death (during length of initial hospital stay; ITT),Enteral nutrition via nasojejunal tube plus intravenous glutamine-dipeptide supplementation versus standard parenteral nutrition,-1.61988054646203,"negative 
",negative,,,,,,,,,,,,,,,,,
722,CD009701,Merrill 1999,STD-Merrill-1999 0.979 0.277 404 412,-0.0225685542109049,0.294757909040963,816,Pregnancy & Childbirth,efficacy,DICH,1,1,yes,1999.0,Vaginal delivery not achieved within 24 hours,High- versus low-dose oxytocin,-0.0765664076134035,"negative 
",negative,,,,,,,,,,,,,,,,,
723,CD009864,Reitamo 2002a,STD-Reitamo-2002a 0.954 0.102 191 186,-0.0959547173709501,0.206095497283744,377,Skin & Wounds,efficacy,DICH,1,1,yes,2002.0,"Physician's assessment of global response of improvement, clear or excellent",Tacrolimus 0.1% versus steroids,-0.465583764010349,"positive 
",positive,,,,,,,,,,,,,,,,,
724,CD002253,Gilles 2004,STD-Gilles-2004 1.141 0.153 41 39,0.423483613610843,0.485459571613328,80,Pregnancy & Childbirth,efficacy,DICH,1,6,no,2004.0,Complete miscarriage,Vaginal misoprostol wet versus dry vaginal preparations,0.872335490684589,"negative 
",negative,,,,,,,,,,,,,,,,,
725,CD003576,Harrison 1993,STD-Harrison-1993 2.5 0.365 20 20,1.94591014905531,0.71046597720222,40,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1993.0,Abortion,Bed rest versus human chorionic gonadotrophin,2.73892094976625,"negative 
",negative,,,,,,,,,,,,,,,,,
726,CD004737,Atkinson 1996,STD-Atkinson-1996 1.409 0.133 323 320,0.467216154392372,0.180294386775618,643,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1996.0,Endometritis,Manual placental removal versus cord traction,2.59140710228454,"negative 
",negative,,,,,,,,,,,,,,,,,
727,CD007101,Deisenhofer 2009,STD-Deisenhofer-2009 1.12 0.104 50 48,0.559615787935422,0.509824121556282,98,Heart & Hypertension,efficacy,DICH,1,15,yes,2009.0,Sinus rhythm remaining,Comparision of sinus rhythm between CFAE+PV(A)I and PV(A)I,1.09766439890515,"positive 
",positive,,,,,,,,,,,,,,,,,
728,CD009665,Ferrari 1991,STD-Ferrari-1991 6.686 0.353 109 106,2.52387507565893,0.414613577120902,215,Anaesthesia & Pain,efficacy,DICH,1,3,no,1991.0,Pain-free at 1 h,Subcutaneous sumatriptan 8 mg versus placebo,6.0872948087828,"positive 
",positive,,,,,,,,,,,,,,,,,
729,CD003521,Freeman 1986,STD-Freeman-1986 1.064 0.497 29 36,0.0776509342300661,0.622482794151023,65,Pregnancy & Childbirth,efficacy,DICH,1,6,yes,1986.0,Use of pharmacological analgesia,Hypnosis compared with control,0.12474390450578,"negative 
",negative,,,,,,,,,,,,,,,,,
730,CD010605,Hallay 2001,STD-Hallay-2001 0.778 0.864 9 7,-0.336472236621213,1.15881713089561,16,Gastroenterology,efficacy,DICH,1,1,no,2001.0,All-cause mortality,Immunonutrition vs control (other EN or placebo or no intervention),-0.290358355645954,"negative 
",negative,,,,,,,,,,,,,,,,,
731,CD010292,Arnold 2004,STD-Arnold-2004 0.114 0.057 104 103,0.670941668647455,0.343900462841404,207,Anaesthesia & Pain,efficacy,DICH,1,1,no,2004.0,Self-reported pain relief of 50% or greater,SNRIs versus placebo in parallel and cross-over design trials,1.95097634677181,"positive 
",positive,,,,,,,,,,,,,,,,,
732,CD006117,Behan 1995,STD-Behan-1995 0.333 0.907 20 20,-1.09861228866811,0.906764700582363,40,Psychiatry & Mental Health,efficacy,DICH,1,13,no,1995.0,Sertraline versus TCAs,SE - Participants with at least one TEAE,-1.21157372796111,"neutral 
",neutral,,,,,,,,,,,,,,,,,
733,CD004182,LaRusso 1988b,STD-LaRusso-1988b 1.136 0.43 39 31,0.167432944300204,0.564806664394551,70,Hepato-Biliary,efficacy,DICH,1,1,no,1988.0,Mortality,D-penicillamine versus placebo,0.296442933228638,"negative 
",negative,,,,,,,,,,,,,,,,,
734,CD006761,Altomare 2008,STD-Altomare-2008 0.431 1.231 146 127,-0.841567185678218,1.23081133880223,273,Gastroenterology,efficacy,DICH,1,3,no,2008.0,Postoperative bleeding,Complications,-0.683749945379276,"negative 
",negative,,,,,,,,,,,,,,,,,
735,CD003991,Song 2006,STD-Song-2006 0.138 0.387 144 144,-1.98348682430889,0.387433081465322,288,Gynaecology & Urology,efficacy,DICH,1,4,yes,2006.0,Azoospermia at 3rd month,Intra-vas device versus no-scalpel vasectomy,-5.11955978773697,"positive 
",positive,,,,,,,,,,,,,,,,,
736,CD000227,Aloia 1988,STD-Aloia-1988 0.6 0.645 17 17,-0.664976303593249,0.829515062006253,34,Emergency & Trauma,efficacy,DICH,1,10,no,1988.0,Persons sustaining new vertebral deformity,"Calcitriol [1,25(OH)2D3] plus vitamin D plus calcium versus vitamin D plus calcium",-0.801644640405862,"negative 
",negative,,,,,,,,,,,,,,,,,
737,CD007453,Collins 1991,STD-Collins-1991 1.636 0.812 11 12,0.628608659422374,1.02875329080073,23,Neonatal,efficacy,DICH,1,2,yes,1991.0,All-cause mortality,Insulin infusion versus No glucose reduction,0.611039269612538,"negative 
",negative,,,,,,,,,,,,,,,,,
738,CD004484,Shovelton 1971,STD-Shovelton-1971 1.056 0.132 36 38,0.22314355131421,0.5444525428617,74,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,no,1971.0,Success at 24 months,"Pulp capping with Ledermix, glycerrhetinic acid, calcium hydroxide and zinc oxide eugenol",0.409849406049871,"positive 
",positive,,,,,,,,,,,,,,,,,
739,CD003711,Yang YX 2008,STD-Yang-YX-2008 1.22 0.652 83 81,0.210240146478302,0.689788029620351,164,Heart & Hypertension,efficacy,DICH,1,1,no,2008.0,Number of patients that died of cardiac failure,Herbal medicines versus supportive therapy,0.304789496845886,"negative 
",negative,,,,,,,,,,,,,,,,,
740,CD011946,Asilian 2011,STD-Asilian-2011 4 0.595 32 32,1.75785791755237,0.707919081030704,64,Skin & Wounds,efficacy,DICH,1,2,no,2011.0,Participant-reported scar improvement (short-term),Fractional laser versus non-fractional non-ablative laser,2.48313396920026,"positive 
",positive,,,,,,,,,,,,,,,,,
